node,betweenness,ap
oNeflwrGo9Q,0.022727273,19.2
eQXE0doiTEY,3.659090909,73.2
kEH8D0r80Lc,3.659090909,105.8
wEwcYKGHwXE,3.659090909,131.8
8uFmwDGx7mg,5.75,0
84djsEaWAo4,11.5,11.4
HbiCOxntYuI,1.916666667,0
7zZqP24lg8c,1.916666667,0
60HhUemz8X0,1.916666667,2.8
Fw2KxSWs0hA,11.5,3.6
kD3LTtYXl2A,5.75,0.6
K0QmLAjbKmA,5.75,0.6
9OaSZxbe8hc,16,17
HveT7o0TTyY,2.666666667,46
BgxZ5p2l7qY,2.666666667,21
7tkQGTWGKbY,9.6,7.8
gMK2x03-tWg,12,8
mYcpx_bUBHk,8,2.2
_N97nz-6HSc,8,1.2
dMlQivH2ZkA,3.833333333,20.2
a8c6b4qfHOk,29.25,1
fvejj2L6Gog,5.75,132.2
dZ5yCEijgvk,1.916666667,26.6
#NAME?,5.75,46.4
_Hgouf5Ic_4,1.916666667,29
VZjRtkvBXW0,1.916666667,12.6
5WAfhNrAZNQ,23,19.8
2UgcJ0ZJv2w,18.75,3.8
wBvnEsocMMI,18.75,38
PFSlhfPlp-c,18.75,1.6
NqTjjTeBRNc,11.5,19.8
f4lEvKojhSA,11.5,12.2
jXb7179kVFk,5.75,5.4
GCDODayFxuM,16,0
geOTFtY_CTw,16,6
NmeDT9pbnzU,8,0.4
usBYE2CyUhs,8,0
pbmEo-v6zZ8,16,0.6
mlirW1S6m_s,0.028409091,45.4
h4x6YAl6z-I,7.971590909,0.4
36NI_Q_vre8,7.971590909,1.8
E3PFGJ0ydq4,11.5,0.4
3wKQfg2BsdY,1.045454545,5.8
CcdtzZRJric,1.045454545,5.6
gPPv9rF1PNs,1.045454545,0
8XWg1FMv6rc,1.045454545,0
ErKuhD-fZN0,1.045454545,0.6
lmFLilXbaR8,1.045454545,4.6
_Ph8DtnVg6U,1.045454545,1.8
HXbx5WCMzE4,1.045454545,8.4
G7zUxt_qZRY,1.045454545,0
eH3-hae93DU,1.045454545,2.4
LEqCprvQn1A,1.045454545,5.2
3TGf3rJGRUE,6.9,15.8
0y8_PS9uaR8,2.3,29.8
evlvsZjnTao,2.3,0
HK07aeXUr5w,2.3,0
Q5ng387cfpk,0.533333333,2.8
AtL8dDo-2Qg,16,12.8
bZNSme771xE,0.533333333,33.2
LS-amg_Z1L0,1.066666667,12.2
7Wdr__2O6yY,1.066666667,16.2
NLqKn4NZq_M,1.066666667,23.4
97x2KibpTrk,1.066666667,0.4
wQKwwC72BJE,1.066666667,84.6
Lx4xx88Qm9w,1.066666667,12.2
OkasuarXTG8,1.066666667,5.8
oBze1UYmEFo,1.066666667,0
tfPsoGHfy6Q,1.066666667,20.2
GGm04tbnT9M,1.066666667,13.8
IjCT4YksyDU,1.066666667,12.4
SMpc4PE8Wqg,1.066666667,14.6
D66FvloUmvM,1.066666667,17.8
X05dUW6ZXqY,1.066666667,16
me37XUs-dYU,1.066666667,0
h0S4ULdDiao,18.02777778,0.8
8YUZRviImH4,3.861268939,24.2
gfanGpi_pe8,16,2.4
lR-W1KDPi4M,7.25,16.4
x_k9XZBVzqk,7.25,13.6
JM62dgrVRos,11.5,12.4
F-DZ63iAb6E,6.91082702,29.6
CpqQ0L0cFTM,5.795770202,1.2
NoXDUJnLhWE,3.577493687,1.6
cpG0iy_la0M,1.103219697,2
ej4i0xM0UzE,5.795770202,3
paofJwzcFUc,0.261363636,12
RBKjaRFHjEs,10,34.8
IxIKJrtBNFQ,31.5,33.4
S4BQKsrENMI,9.75,1.6
rFZ4D685gc8,9.75,0.6
fHMXUbttz_8,9.75,6.4
EssvgB7SP3s,5.75,12.8
NAB5NfGcx7I,16,62
Q97WVbbxpwY,8,5.2
uDbc75SjJAo,8,3.4
mZzXcYcwSdU,16,4.2
#NAME?,16,6.2
fbbxlkFGq-M,11.5,0
#NAME?,3.833333333,0
Kaa3B1ILdms,3.833333333,0
Y28Dh0ThiBI,3.833333333,0.8
Y26Mriwwhyo,13.33333333,2
_gy0x7qFVek,16,1.4
oYZCOFHs1lo,5.333333333,0.4
