video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
ly0dBk7yqYU,MV95TjaXkX8,vVhSDhDOHh0,jfACnjzXc3o,gkVTdVzoL6A,uWAxLCkpPW4,zzAFEtwIoAw,3iguSOqYAVg,sA2kG2p9INU,MZX0VXLq54w,PawWL2Hml4I,7qM-_ez_5kY,0Ci_GcBeJpU,Wpgeu_dy8zw,U0_CuZHtq_Y,thWS6L1WMiE,Jwzoi05VDts,xqdjb-XkzG4,JYLectcOOi0,PCHG2tIt2RY,v1qkmQPJIcU
AknyR-kRvLc,rmeMGbJvu9E,aeGBf5lnhhY,vYVGslS0itE,JILwrJWKTAU,Nq-U-PkvbCM,zGtgb2vElJw,aEYFn8RyO9M,FJfK8UaIBaA,8DlZjt76Gnc,_vxU5yioDdA,TpNY3BY8jQk,7M6s1e_O4tI,clXt2ueJAaU,m4WPt9AZY9c,uQdqMfw9iuU,-8g_OTJ6OE8,5rm-FVsBVcI,NCeVW_oevvM,FWRs6X3y310,Lhj1IoVgjn8
uz05gn3Cov8,CYWXjQ-JFV4,PvRYrFwNIUE,HyffZ5B0Trg,Qyn1LIWZ0lY,xrmvr1NkAxc,M-twWdBAA2A,gW330Hk6SH0,QwWjWVz_McU,uCfbyAEnDt4,pDiy9Tyo_RQ,_5r3i7J-JJE,3AViw0wBNNU,C6Is231TuNI,BWiCtHmrqBY,gjrUWIPG0kQ,8dUry8kP7pI,4zgB1Jfpjdw,pvaVQZP6A_M,3i_Uzi1S5T8,A5M_zXTLtg8
TgcGh8y_q30,7t3078hz4bA,1tZTWqI5HiY,bQ1XajB0wmQ,V-UP92Z5cGQ,XhRZ9zWnxqE,oAgCxJ1eVhs,9zHDP3pZEO4,zazszvkrih4,VgsXlZsxKZQ,Bpz9QH5Sbos,mRt5mOoHb-M,Zt014uKBtgk,tn8sp-ZJhbA,p8Ow3s8nrUA,lBUnWXxwtfw,nOvrO_dbDks,yGIUClaEbXM,1guIK2oUvdo,w24B2Wfm3IQ,4DrX7wtbncY
l3ushFvuebQ,Nr-MVa8ZYRg,YWok_21TXgA,_jVtluL5ceY,FD-iuRApxqM,7CXpd4K8rY0,RLK4plz9SWU,n7LipZryAn0,uWz20ngC3h4,F_2aBJRdiOA,UxHo_WN8MDQ,OrSFjxeh3K8,_AP3qj7QJE0,Clp1hELQeCk,R3O38Q-i7GA,WV_Z9CVEj5s,EsTU_ot4xGQ,evRDy3HF2bU,PT0t724P4L0,Bovu-sGIEWQ,5oSrFCvTKMA
XtWjnOArmA0,2HeNescETtU,qINPmiqpbK0,PshLqgEaZu4,NdXTRv6xUT8,PWKBFAvm_SY,wsn3mVmnJOo,vP1vZHGwgRM,L1URc-4ixe0,LdDvODU05lM,Q2C0ho4dv24,-TgombZCGJ4,v2mP6BW4a7Y,7stAx59bcms,1t7fRTH9Nro,dSnMLqESqJ8,JlJbVyYee6k,OkKLnvWcN0c,5PwZcMrRXOU,xBdfzLRGor4,C1nIin7SOMk
Z7Jd_vwDj8s,m6XyQNWrFUk,ekg6qi_DSsc,KLioYeG2ZBI,sj4CDirbpa0,yhwb32s_-5k,qhHmM_GJY9w,uhrav_shqAc,AO0yc66jMV0,Eq-sk3rgrtw,FWW2XWw6cWM,85JCs-Tfaa0,8ERTU9zvHW8,peCNmldjZ5g,q5o_dHRdPIY,3mJ0TzJizCY,bNLvct39Ga0,va5OeznuFIY,FtxuGXB035Q,5egMrCtp-4I,P3HWmdW9mdc
E8HS29Udz3M,uwO4vnoC6w4,Mg_l7BLaBZM,qi_jc2P94Nk,hBPhLCKdBkw,SX_BijSKCdc,w8DCDrmVifM,lvQD-yL7afI,zFUWiL0Zawg,B1AhMSzY5M8,JZR6IJbvXc0,y84IJ9L7KZU,rdu0qyZS4qw,ADf2jkBEYEE,G-QiaKRbUJA,lsJhrnF8z3o,JTbMc5Fw1lU,hKQCGENz7t4,Daq52XhYUGc,Xp4X6Ntk21I,vPbRMuAm3nQ
b1OqFPdoSA4,ZtuIzDCU6Sk,XPX-igmKcXc,9dL9HZmpzkI,z_MDKSQ0fPg,SaKOba_Xji0,TXLLxt_owHg,ORmZXR19OCs,5gaNB7j7TRQ,WkQMzA2orMg,IQSYbi0d0-s,_q00_xLbxFM,bp7qw1PBavw,BRujVk2hgl0,67CDuOQhWdM,AmhKVqm6_5E,9LkI2Tc3pk8,svAC7lOPBgQ,DTq5fwOSEE4,nkhJVpN6pM4,3YMwZPlQ1Ho
zxh8bZHjQ38,,,,,,,,,,,,,,,,,,,,
