video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
sb3JbXuTkE8,v924OISPPpY,Bhi-Dv1ou6s,ETg3OZaTjWA,vHlLnJGOux8,lFJ1gQACQpU,Wdz_c9iYzi4,sZQEWa0ngZw,B8-BGDW9GWc,il8hZBDVmAI,MCyxepQKBUM,UosS4rbn5Ks,yavvUNS4-bI,EA4AIERt83A,gb0eVsg50xM,_UzFrPdP3lc,saSNRofAFVE,s8wt91rs550,V732zA4yZsk,5kC4F86fejc,y5gVGcxrbIw
Miaw5ywharo,GasfMMSYnWc,KjCQ8HTVDoU,zJtfsSD7EZg,bYcRllOqAPk,Sb_Gg0eNux8,CtMoNBvcCMI,hyJz0Xy7_T4,P20vEyUx1zs,V5-YXO3uedk,S_PHdPS2ldE,G3pVwb58URk,9CyYL73W3UE,phF4MUdsaGk,vptqRC4vuUM,VRhFSNY62ow,2-WaBwKsq1o,u_uWP4gFPME,kAO4EVMlpwM,c3JCN6w9aQk,PTeuyhdJ7wY
jk1FqdaaekQ,b2TMOWx84eU,ot5aghT66EE,3_tsXQEj8-o,SGjnvP6CRAk,FWpwzBYggBA,MDqy4l9Ypic,XcslPsPAatQ,UEgzXw9u9eE,F5-bOfuV1Sc,D8uu7cOUij8,5-HjSvLxd6M,BWhHjWUfWAM,A9koTWm6Qdo,MWhrGGrs3Ow,gLTBNfLhzIE,SMTz9nIUkGc,faFuaYA-daw,dOFRRUgt2bo,SUpfgFXfkbo,YXi2JNEkM8o
7b2FRHNOs0c,88nFDNcDNII,JwMSFEDm2fM,MV1GZ5tvrPo,4bBT14dxAOo,ZSGpD2R85hA,hLZs3TOsPTA,V2OKBMJu62s,njckGwfu3PU,bEeZ48TveZo,jMZ6FA3N7ks,U5Ye8M-vNDg,cUo5jpax3v4,TRdBSJScKT4,vnIwypU2vrc,JkpXzBAgnMI,u-kMCQD852M,0bmqviUdAB0,qOlE2o2N7ks,6EpNommppM8,KffXbvRvG0U
--9QLAFwjgU,PnP7Cmv8i1w,pCHzccFn8YE,l1kQ1xrCzz0,j4cWHI1UL8s,-bAtULZoSuo,0-wHB5-uYHA,tGFbcb2zxlc,aDOg09lc_fE,EYX5w_UOIq4,eeJwts5zvHc,lG0wReKHF1E,bWYKZ-Ht8Zg,w-I9IfovbE4,xY5I55S82F0,7NkkW3YvkS8,Gexg74VxcqA,irUE2WKs9D4,Z6unvyQQgEo,Nyq2Fk85Zeo,n4A48n3-OKM
4g7rKQV9SkE,qTM7mVEz2r8,-MmGng-Xrmk,9sc6n9Rwa40,Vbhsm586Chc,tLQu8xi9OYg,uKnn22HA2G0,n1mLC9KnuoM,J-g_naDykd8,uJfzakd8J7g,SD9NvjouGDc,bJwnr7T8M1Q,u9aLs-RfO-Y,piwL3FU97PU,DWalBJlAF5E,slQvhn7Y36U,wyiQzCvKNWY,F-OVceKeGKg,QmqFid2Re40,YdPYPhxdTpg,XfMFwiIw5p4
K3BvHVfbsQE,Tsjm06bbQLQ,3wz3g2Q5yC8,0t4hXoP5cgw,62PmW-6bk2E,oslYsLqsn1Y,eK0zbWngU1E,Z1wYWVoyXNg,Z41s5eTbvl0,-38XS6ZNZoA,Lp6Pgchulx4,GD3yOW3d3dA,AGw1ZQCPwzs,9sIPc7ZSNPs,UvaxKvRuP4E,dJSGy5Aob3A,-VydlxQFdmI,GiqmY4tRgLI,EmAtjM1OQac,zx8JvcNFirk,r-54n-GqERw
X1aC3mQiuzE,0BecKji1c1k,5hC_jFvu-_8,bjQoDG8oXi8,zaAu36vQUqQ,w8QWI2tMhHE,RDfizKnrBZ4,5hxNRVDRI9o,Iul_W7oiV2c,eq_y3TXg3GQ,WhynT1N862Y,3DBzz9XK_dE,vWQ_BnOdSvo,PbLFuCEBLQw,jhL1m1ERtR8,uCSrEg5-DHg,J7WSX6KQ4eA,QNHpUVvHalI,1JldZHeOpAY,hpJ0uxoLMsY,hp1YruZTwxU
8ve0SQoIvKg,6ZhH7ZjVjkM,ePCUMUbf7_I,oTNWdE_A6U0,zJw0FVxvCHQ,bkbQJUvWoaQ,rE_-qw58s2E,QRtGM-PaFng,hJ85c6Utdhs,SguRnZC6MB0,gDDgZTKdD20,KYpssyoUyUc,icRH9PNetIc,HPaTrAwkDNg,PVz3YiGg1rc,LW3fjx83Ya8,pJRwqILNUZI,cipnY2dSFeY,F4K6y0gjAJo,kvH7plzJ_1M,2ajRIIhojJw
jS3YANguZhs,ccZUdtCenCI,I09OBHSu--0,3F3JdvK2uEQ,4bW60v4AhGE,0Bysx3sT-vc,KlkWELNRHfs,O4s446juRMQ,xvyaCBeXh9s,ICPpetDUNNg,138CaUjCorU,1QUwHUWdQ4Q,QO7eFO1Ubfc,f08zxRtbz5A,SeeAtTZAWj8,2EyqeB_bkjo,e8su6TO4WQ8,wGBQQI-v_08,rMeAGy1VPRk,zfLItgCtRfA,IJ5vxavXLHo
4xkHG9McgE4,Q0qe93wRFnw,xs5ByohEVVk,GrWfVSOLgOI,1u0_wLw8jec,utS1qcriFVY,VW_PWesjEGk,m1IZAvqSS8E,W3XRrKAOafc,x-Q0eBfFEuk,N6iPRsWnM9M,HeBfEeOC0sE,g7yS7rVeCU4,pCJw9X3kyzg,wOhgf9VRD0g,ha-orvjqC4w,M944KE1gN30,6VrBlelBL2c,Y7BR3tbcWc0,hHY5QU_dAco,BSRS7Wue69Y
tk8fIZhoSM4,ZtxS1yeQFRU,i9IUzWPE1QM,9WZCzAVM_F0,diIEj8wrjeg,AqNxYf7VVaQ,4Txy6PDgsbM,o5yrJ2irAmI,XS2jcltKFqU,gRn6t2sySyE,CmD-r31Ns4E,PsF-ceK83vc,asDXpfFMKNA,tox33Q_XDu0,27-TM3q5-Cc,GvJ4jxGwnE0,e0d1l91tGbI,7nCjRl9sEn4,RCIlR3BbeiI,6cxkLZoEFEk,P_Cybo8VnAc
