video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
n7Oxb5kaBBE,9_u-sWwyWI8,T6jPQ6Ftesg,rEycXsyVu_U,SQ_HHV8vdAE,T7aMFuj0PaI,bZ4rWYw5OaM,htpulp7ZbWE,QMGbapkjBp8,LRXhSJgC5S4,7_4xqQffK8k,7sfuJjA1sTs,Q9KQVZVGZrk,CT5tGAu-rPs,tzwKmU3Y59M,g06Ruui5gs4,HPsH0vmTHQw,jk1DSWkCa-U,IaUxVKfuzOc,xYJDSYMT_E4,CipqpMFk2Jk
CjSplVOISLk,Hah0XQ1pAO4,HTfTRXSgFdA,ta_f0yziBe8,ue4ilUKZzs4,Ph9MMzecrSo,6nWIGarTCj4,to7n0XlYmMw,vumlQeUr0Vw,0kfsnjcUNiw,-j4q8f_cYXM,rMDh5Ln5J_0,wejI0l17xIA,TrJsGzVsoIQ,vz36bozEjAI,HAcLC5rr1AQ,EU-IBF8nwSY,WTEK9yr8zR4,Xr4kz_kRO60,FW29aZk68gg,OnFzP4heGR0
BJ8LxIF9dIc,ykb2PPrCkJc,6ElO7MMWTyw,MOfaqTpTvsY,v5_7oxH4iTw,HJHr7hbgzuM,VJPTbxX5Wkw,a-A5MBKWDB4,bYsG7xmcxmc,27yr8XYrgKQ,Peqm02YjmiM,Tk5A21oGcD4,7KpjkTrYlxQ,Qtk3xfIyIhw,UrUqmaifnFM,Pj9Ca9Yoa_I,cAKQOrfmH0M,xzFgttR1Af4,pgBnZQK5maE,zowtGF_DdWI,cH6BPyFu4k0
P7qQy1Bf1X4,CFT-rIgbTnE,K07b7ermm1E,iIs-Yrr5K6c,Ed4XiGRinO4,yzV_CSMOHQU,nGmqR4vNHI4,h-f4ezo6T_c,IjaQl3igFMY,huVE0iZT5j0,PbnAfrW4RVY,1fZpkNgKMG8,vrLBHYcKTkA,NVfNAgl_9vo,uGxl2erG9_0,PInzIiZCuEw,m8bbLVJNa8M,mputafoObU4,bp3PzJ-NK2A,WX0bdIOkXtE,72XWD562TXA
v2l-vFg1fKo,Q6wwYESbXGE,RMw5cZmbyus,EAy8zy0FZ6c,vJoCfcgvGEE,thWS6L1WMiE,GG2PXgMrP0Q,u6rS-Jz6QAw,5Kv8jsbHQHY,r1Bt3VC4CIg,lBhSOLtZagg,Fo3T2ivt8Hg,Usa4O0MHBB8,zA5grk9OOu8,gkVTdVzoL6A,1iqbWnYfozo,lYZY0_TtdIg,EujNg_PdX7E,A7hZsQW5c3k,RIZOWvFCOv4,TfBJ9UZtf5Y
JyYSxBSnVVw,thWS6L1WMiE,t89WwcsOj9U,DcRdWdJpbTA,A2XPiqhN_Ns,uNl-ongb5YA,AA5ZR_jxdXU,_E4PYoAqSmg,WfHGX2pVg7c,j1zevjZwdKs,RMw5cZmbyus,Q6wwYESbXGE,pKn_a8cOBnM,Cs7BcE5EUxE,5DKi-nAhpjA,pvx-WnDC750,vJoCfcgvGEE,GG2PXgMrP0Q,EM3Re7JX_4o,TyOw0nTvY9k,U4afd6H8ZyY
ZwKjToi_0oQ,QQSeHPOLeuo,Bb1mip5-8nI,Kn0OlxWldLU,ROMewi9YiPQ,kApNAUbflhA,mUmS3UqByWI,8yRdDnrB5kM,-MPXmZQwobQ,_8nFUlLxIT8,62_EjAzRVas,xP2828HEuaI,EokN653qSUs,_JBE5g3FWkE,iAmY7j-JSoc,KjBDVrv_NuI,0DCEx8eRJWY,HpRMn4KEEHo,xa3NdIwFfN4,xSc1mPSY7r8,TLC2KuXgKNQ
1wQ4xJtNMng,AcuI2H3neC4,hupnXSlG7_Y,p6LDRh29RII,_snG301AYOQ,gSAN-dv1iV4,d4gvyiD75n8,hKBKAcXYLX0,AUB_22sFFPY,BYq1Qah5i9U,ghyl-v6Sd_4,f_B2o6CRsBU,Ur4M1rO6kHY,G3sFOZ5HwVU,kCUePVNA7vE,PkH0Sh9UmXc,1eRKwIf1QHQ,anHLsyS67Z0,LAWeUyfm2Ug,s_3uOaiWHCU,1IBV07Pkvr4
WpstzdWqy6g,XI81xmP7zBw,TTM3vZn6ew4,xeqIqC_8VAo,oNeflwrGo9Q,jylaapfGk5Q,rvDy-tvJRyo,gTK7bSOHYdc,H1ZZ8Gt0feM,crCmj_HIDZ8,UtqFCDyKfDk,bR2vGMq68pw,T65BNTvFOE8,LJ02e531K94,okZalRKf9Dg,_4yS3M5NPfY,usIyEL7ut5A,f8jZyexrJEE,eQXE0doiTEY,kEH8D0r80Lc,YRjpfMHB2IE
wEwcYKGHwXE,_6SwkSiBhVY,a055fsjgD9c,usIyEL7ut5A,rUmlWIG-4HA,YRjpfMHB2IE,xeqIqC_8VAo,rvDy-tvJRyo,kEH8D0r80Lc,ykAbFG0tmuk,zayPDWMfxVo,WpstzdWqy6g,5l_rWA9kZeE,H1ZZ8Gt0feM,XI81xmP7zBw,T65BNTvFOE8,crCmj_HIDZ8,nfMfEyogA5I,UtqFCDyKfDk,eQXE0doiTEY,8wgwZuXA6UA
