video ID,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29
rZF9UbOq4S8,vHrXiTFXm2k,AkrWd-27Z1E,LHAkqYU4X5o,NDEkwQ1CLVI,4I7xTRmks58,MBQylRugLBY,4AJpasGxHdg,79lVzCzQTHI,egQyFbFLE_o,KsN3ITH-_8s,5YC6JxavJRw,JnCohckLIQc,GkkrCjkAags,o0CjZHh_o1Q,GHRAfdciBzU,n6JwVXNs4YQ,QpXA_WxAx0Y,H7IJQ1FeAHM,UE8sCXHt9PU,hxpGA7nFA2U
mc0JRxSRaFc,21YvVKd3bIg,epFLEoPoYNU,-GZ_MgOpn4Y,GCDODayFxuM,u0TQjM_vJtA,rmBm6p3jcA8,q3PJAss6UQs,qQLyk1kI-d4,M0U_wZIdffc,w1Ijw-4q2io,PUUNDGZdWyc,Byd8322US1Y,hhnUG4vnjc4,L6aqtzCB-ko,cgbj1Ctxjic,P8zg0q3ITRE,NmeDT9pbnzU,9pJwVTPLxPE,10mLTl2Vx04,fYaNJe4AmhA
Sh8TAWrh0-A,nDC4Vo1PX3c,UtZkYzSoLZw,yAiv9nMTPdY,P8W5g3Zio4M,Vvyg3RbTsOw,pkrEQGvk344,BjFLpYthPJE,JHUHKE2ZTAw,T2Pos_gmyb8,SI7lSDXvgy0,ozbeIfChUOg,dRzxTxoe100,SVFMjmb_Cf0,zAGRMxFRkbI,u1YTRcJbFrY,_bK6H8QrEEw,lTN-Kq-phEM,PSJ7CB1rZyg,bvoozqAOo-c,59Pwt4LObLs
TrJsGzVsoIQ,zFVp5UV8YOg,skx_KegHcFg,hALwqu1NAKs,cZBGsJ6fylI,QB1b6kJp8yQ,7-jjnpn0N58,zeDIC7XA6LQ,mf5xRUeYQdw,2z6ntOJgTq4,D-UNWkbQk7Q,7oNYsoZtFZE,RjfNGHLuGC0,ZtDnDq_0bNY,tUdVRpjHqvA,ZJZfU8EK8mA,ihvJuMlRFVs,YrXfqHmLmeA,BnBmBFAsOXA,CEcLE89XBis,CZ7FRMinoho
6EpNommppM8,,,,,,,,,,,,,,,,,,,,
KffXbvRvG0U,,,,,,,,,,,,,,,,,,,,
O3nvyweOdKc,t_MvOBGZzxc,K796DZ2w2Yo,z4GgZOTamnE,ugciRR5rmjo,TClqCYoUv1E,nu6eoSZOHQY,XCBb0ijvwz0,c3JvPJwf5RQ,DoqGRCFnhyY,HGKzr5T7DdE,31jAiuyLQyM,xkav_yphlHA,KvefDGxb0dU,CuvPMeGmW3U,JqNcvzAoLkE,U9QRqBnMthY,Y9bhz54GIeQ,C3NNOgSLUWY,mTZtQmOmdHM,mBZ7Hkxe-4c
HLX_JDImV80,,,,,,,,,,,,,,,,,,,,
Z41s5eTbvl0,,,,,,,,,,,,,,,,,,,,
J7WSX6KQ4eA,PyczI2PYxno,CkvqCWfHSxs,k8QyhxFD5Dk,rJA4LhUOlU8,JZA1fMuMOV4,7yspYWdK6zY,1qaH8xtDicA,0o0SF4QrIBY,X1aC3mQiuzE,m9MA0eW8yyw,m-5N0oNnqqs,pgYUmLNI5HI,ttnouvkKpAA,GTCbup7ot_c,Iul_W7oiV2c,LO5jpUk_amo,5KPQ2LCjlXY,0DOzSOHuZqE,Quun4-WMdW4,3wO5anx5VQg
kknQvuGO0-0,RKO3gAN-_FI,Txt2dc7nauY,IjuVGy_pQ60,i1rsfd7pCTs,3tEkhyj1Ghk,eZPtQqJdp3w,gqUhYIa0L-A,M916RuSiUOg,z3RnEGoNlC4,BiQtulHv7Wc,M44qmyo6R08,rxZ9Tl5s0y0,9mWzbo4Emnk,xjIH_zCRfzQ,INbj9Ag1sw4,pjKyn2QIfbM,2MK8bMVhPbA,a5DG5NWXe8I,A8hlV-7MfSU,n_S3eNLz6Mk
9n2RzW8sJz0,LywaittS_lw,D1aoapwusIg,ci9znhlt4TA,BsDvmQROMHQ,eKVXV5Q2YgU,174fP2Qq2Sk,TBEjpBcLMIQ,q68cNLxvE44,MvCzuuI99OM,77KAenvbnGA,DWsN63PRCW8,oj6FLJDvKtA,UWentUYelJc,5DqJBMmynoA,QiVj73GS3xM,9z5t_7vLC0Q,nTKIK_Y888E,9go_JZwCQZM,240jNzrUR74,M93nGk_CNMs
jR0vicGhoCQ,,,,,,,,,,,,,,,,,,,,
_BYxbNOzTPg,,,,,,,,,,,,,,,,,,,,
94UqJzocqnI,,,,,,,,,,,,,,,,,,,,
